CountryCode,CountryName
AU,Australia
AU,Australia
AU,Australia
AU,Australia
AU,Australia
AU,Australia
AU,Australia
CA,Canada
CA,Canada
CA,Canada
CA,Canada
CA,Canada
CA,Canada
CA,Canada
GB,United Kingdom
GB,United Kingdom
GB,United Kingdom
GB,United Kingdom
GB,United Kingdom
GB,United Kingdom
GB,United Kingdom
IT,Italy
IT,Italy
IT,Italy
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
US,United States
